Time (min),Abs1,Abs2,Abs3
0,-0.0273333333333333,0.0136666666666667,0.0136666666666667
50,0.468106666666667,0.423306666666667,0.393546666666667
65,0.706186666666667,0.651466666666667,0.606026666666667
90,0.831626666666667,0.806666666666667,0.754826666666667
105,1.00826666666667,0.951946666666667,0.881226666666667
120,1.11994666666667,1.05530666666667,0.986826666666667
135,1.22170666666667,1.14362666666667,1.08826666666667
150,1.29114666666667,1.29946666666667,1.20538666666667
165,1.35706666666667,1.32954666666667,1.25274666666667
